"","logFC","logCPM","F","PValue","FDR","Population"
"CTSW",-1.10348020589384,10.1584051676383,30.4708857361546,5.28925389448922e-06,3.19397416640198e-05,"CD8T_LOMGlow_1"
"SPN",-1.09243156681491,7.96160380674716,39.8554668533097,3.86558535321736e-07,3.30399353390259e-06,"CD8T_LOMGlow_1"
"RABGAP1L",-1.08888664822579,8.11702263289751,88.8213516973639,1.92763493837468e-11,8.0361193942474e-10,"CD8T_LOMGlow_1"
"HMGB2",-1.08338058184724,8.03039771871257,24.233233817946,2.76609689745551e-05,0.000135192985863138,"CD8T_LOMGlow_1"
"NOSIP",1.08101843410533,9.90442520940642,47.4409348251819,9.90136694316882e-08,1.09882681889026e-06,"CD8T_LOMGlow_1"
"SELL",1.07993737463075,9.96154858166077,51.4839508541152,4.20156035017311e-08,5.25699231013659e-07,"CD8T_LOMGlow_1"
"APBB1",1.06830567717727,6.91755412828943,64.4846803899736,1.12628807077976e-09,2.48100639816837e-08,"CD8T_LOMGlow_1"
"DNMT3A",1.05892758172998,6.19989421874328,47.7294770188054,3.4620142041293e-08,4.55007581114136e-07,"CD8T_LOMGlow_1"
"PRKCA",1.04611596814102,7.32703576605358,24.6956995147957,2.36705104758396e-05,0.000117900249631252,"CD8T_LOMGlow_1"
"ITGB2",-1.04123663782549,9.74130078766821,69.644760309214,9.32753027957673e-10,2.21034202382697e-08,"CD8T_LOMGlow_1"
"TGFBR2",1.02836290665719,8.43926153905332,92.2348764954593,1.16232761607089e-11,5.34670703392609e-10,"CD8T_LOMGlow_1"
"SMPD1",1.02492161912976,6.66512394483399,87.9988070394158,2.18204625074097e-11,8.70623447875858e-10,"CD8T_LOMGlow_1"
"RUNX3",-1.02391822609732,8.36335991999546,61.3323579588179,2.84579082643015e-09,5.42782542992288e-08,"CD8T_LOMGlow_1"
"SLC9A3R1",-1.01226024956109,8.92741560037619,83.6923824535909,4.23362196686658e-11,1.4088052672722e-09,"CD8T_LOMGlow_1"
"CISH",1.00526213595189,7.17456808852955,11.1258442303735,0.00229241391517131,0.0063122101467041,"CD8T_LOMGlow_1"
"ARL4C",-0.998085411009032,9.24182955023444,87.8058701949858,2.24669603982922e-11,8.70623447875858e-10,"CD8T_LOMGlow_1"
"DGKA",0.995929175661817,7.76286738393912,45.4757055762866,9.27788824490126e-08,1.05149400108881e-06,"CD8T_LOMGlow_1"
"FOXP1",0.993869685197327,9.3057514758212,68.8634010366354,8.62023697715963e-10,2.09306072613765e-08,"CD8T_LOMGlow_1"
"RGS10",0.992400348060755,9.13616755176748,69.7429898025287,6.8810980506175e-10,1.79367289186096e-08,"CD8T_LOMGlow_1"
"PCED1B",0.992237848463781,8.35750236296285,62.7429900463707,2.37057568994768e-09,4.63447547384771e-08,"CD8T_LOMGlow_1"
"FYN",-0.989488873624175,9.09759286355173,125.370654433987,1.56300508877676e-13,1.35807775491491e-11,"CD8T_LOMGlow_1"
"BEX2",0.983553980379751,6.721439812398,60.6643233390128,2.33115310605503e-09,4.61509298464565e-08,"CD8T_LOMGlow_1"
"MBP",-0.982166004236362,8.34915170705539,78.9462059053149,9.04136832150355e-11,2.61864815830214e-09,"CD8T_LOMGlow_1"
"PDE3B",0.976742411408902,8.97896585430241,47.5704199867618,7.08697153722893e-08,8.6593933470516e-07,"CD8T_LOMGlow_1"
"RAB3GAP1",0.970132547061337,6.48636332830521,29.8165362979961,3.94682858005268e-06,2.48904834645258e-05,"CD8T_LOMGlow_1"
"IQGAP2",-0.96559674763092,7.96716659820259,84.9275102301542,3.49225654136966e-11,1.24133846152322e-09,"CD8T_LOMGlow_1"
"SUSD3",0.962709705566126,6.48860368173781,18.8144979082645,0.000132575519919828,0.000526264246585306,"CD8T_LOMGlow_1"
"TCF7",0.941805076749591,10.0533417321501,51.010917977694,3.51772471023316e-08,4.58476787233722e-07,"CD8T_LOMGlow_1"
"A1BG",0.940892434395884,6.8036912853038,50.2842986447718,1.96795345237876e-08,2.95949923030807e-07,"CD8T_LOMGlow_1"
"YWHAQ",-0.937601881359044,8.37198038928437,95.3152060443402,7.44812756256391e-12,3.75770048640321e-10,"CD8T_LOMGlow_1"
"CKLF",-0.932989915550262,7.82963039953766,104.852699104227,2.00061734796071e-12,1.30373563842106e-10,"CD8T_LOMGlow_1"
"TMEM106B",0.928411096951898,6.73451293992834,62.175133620631,1.74244156972299e-09,3.58576133558783e-08,"CD8T_LOMGlow_1"
"RGCC",0.9274179808777,7.65902205939016,20.215041485738,9.11922528958954e-05,0.000382371805708258,"CD8T_LOMGlow_1"
"ZNF609",0.914515553651589,6.7010566483856,50.5963589646406,1.83889089793645e-08,2.84754986571545e-07,"CD8T_LOMGlow_1"
"CAST",-0.906039203867747,8.44297357107026,66.1115438085073,8.33240578710647e-10,2.06855280175151e-08,"CD8T_LOMGlow_1"
"FBXW5",-0.905503494423176,7.54371736087328,77.0510352296132,1.23493045155726e-10,3.44898433256348e-09,"CD8T_LOMGlow_1"
"SH3BGRL3",-0.90064437286182,11.229657822235,130.903433112617,8.30776946529297e-14,8.12084465232387e-12,"CD8T_LOMGlow_1"
"NUCB2",0.892376723915446,8.41481511551523,64.8565298179962,1.09901976717242e-09,2.45552416551094e-08,"CD8T_LOMGlow_1"
"BEX4",0.890219481010121,6.69393217451216,23.1056196345522,3.10022808154645e-05,0.000149192514447343,"CD8T_LOMGlow_1"
"ALOX5AP",-0.882529642542948,7.61825883079483,33.7224535242323,1.3127314787949e-06,9.68785023398907e-06,"CD8T_LOMGlow_1"
"CYBA",-0.87938185010235,10.2233195130412,136.57170601154,4.44182456293296e-14,4.63134241095143e-12,"CD8T_LOMGlow_1"
"FAM102A",0.878600875885213,6.94450352203082,21.2707878727635,5.98848490372669e-05,0.000260166399706348,"CD8T_LOMGlow_1"
"TNFSF8",0.859053947973265,7.05258316105527,7.4325687805467,0.0106319879323917,0.0242750790164389,"CD8T_LOMGlow_1"
"LSR",0.856661579503151,6.68758233389306,24.7802072032848,1.73569145547414e-05,8.98881270318395e-05,"CD8T_LOMGlow_1"
"TGFB1",-0.847726677538318,9.56025273265309,64.3700326202543,1.30714805614978e-09,2.83941605530312e-08,"CD8T_LOMGlow_1"
"TMEM243",0.845546442839192,7.49806956618631,43.8309482502627,9.4315482334833e-08,1.06121880842934e-06,"CD8T_LOMGlow_1"
"ALKBH7",0.844818301045087,8.1637581080187,56.4110877101054,5.42543591155176e-09,9.64247927916698e-08,"CD8T_LOMGlow_1"
"ATP6V0E2",0.843548980369664,7.27484411255662,50.3085730262122,1.95757959077352e-08,2.95949923030807e-07,"CD8T_LOMGlow_1"
"CD27",0.841454075693013,8.718120082898,23.4535156617978,3.33001102045728e-05,0.00015830204364727,"CD8T_LOMGlow_1"
"MACF1",-0.840061096979842,7.76508205581021,48.4974195392038,2.91610340549718e-08,4.07213011267643e-07,"CD8T_LOMGlow_1"
"ABHD17A",-0.83865178375769,8.84800039346382,51.41562605346,1.74964973379157e-08,2.73645218365002e-07,"CD8T_LOMGlow_1"
"S100A10",-0.833004511275118,10.0350919308383,73.8540786991515,2.11499345267752e-10,5.703189241358e-09,"CD8T_LOMGlow_1"
"LDHB",0.830989682693443,10.6391816527227,36.7295441380613,8.47184827661818e-07,6.59202522618449e-06,"CD8T_LOMGlow_1"
"IL32",-0.825706897600347,11.6622029209659,40.3934461808576,3.19963652450016e-07,2.82724944876737e-06,"CD8T_LOMGlow_1"
"P4HB",-0.821307446627799,8.11896173415442,107.295237743378,1.44938603095915e-12,1.03038170564551e-10,"CD8T_LOMGlow_1"
"SUPT3H",0.814709431484767,7.44294110663694,42.8703439045478,1.0945127436965e-07,1.18056409044229e-06,"CD8T_LOMGlow_1"
"FOXO1",0.809333100645489,7.42614250022693,43.176772457543,9.90630316262957e-08,1.09882681889026e-06,"CD8T_LOMGlow_1"
"UTRN",-0.808261951979529,8.1036990706052,60.8122762616668,2.26518518218527e-09,4.54198669863815e-08,"CD8T_LOMGlow_1"
"IQGAP1",-0.80760365194455,8.24769039780767,51.7980764311782,1.41940625584476e-08,2.33679093067496e-07,"CD8T_LOMGlow_1"
"EZR",-0.80393269163108,8.45128532138721,52.7559845130393,1.15765890053482e-08,1.96802013090919e-07,"CD8T_LOMGlow_1"
"RORA",-0.803356344838306,8.04805375045271,44.3167769296799,7.5705434214849e-08,9.1079460855403e-07,"CD8T_LOMGlow_1"
"PDE7A",0.795789329238335,8.24905147865921,47.879727347424,3.68941884018567e-08,4.7297139885659e-07,"CD8T_LOMGlow_1"
"TLN1",-0.79333623646887,8.19869571282499,71.237840477312,3.32404622697281e-10,8.81153948980589e-09,"CD8T_LOMGlow_1"
"BCL2",0.788165253336585,8.39856252503977,19.372783586649,0.000117916528300918,0.000479016753928925,"CD8T_LOMGlow_1"
"SIRPG",0.787977397384741,7.37224985338708,18.8406314931793,0.000131435742818061,0.000524401790223082,"CD8T_LOMGlow_1"
"EEF1B2",0.786719499619221,11.9539275728135,65.8776351350931,8.69878179021403e-10,2.09306072613765e-08,"CD8T_LOMGlow_1"
"TUBA1B",-0.786540900594417,8.7168707339639,10.7079788726707,0.00268678960497349,0.00723259714660678,"CD8T_LOMGlow_1"
"LCP1",-0.780146140428888,9.51531934544368,102.651551518302,2.68785938022749e-12,1.68152482827032e-10,"CD8T_LOMGlow_1"
"UXS1",0.774980634534829,6.44727674327437,39.488738601425,2.43108232234189e-07,2.24330604958764e-06,"CD8T_LOMGlow_1"
"HSPA5",-0.774955573123391,8.49537831483621,47.9805595822509,3.27255002651383e-08,4.37537733767717e-07,"CD8T_LOMGlow_1"
"CAMK4",0.773445408839367,8.75230860855802,28.8026756476392,6.19194847250085e-06,3.64067947781629e-05,"CD8T_LOMGlow_1"
"RNF138",0.773018723472341,6.84642007295208,33.0273384697017,1.31318686036169e-06,9.68785023398907e-06,"CD8T_LOMGlow_1"
"TMEM123",0.771548041416434,8.99292731895654,42.3072884350817,1.59046597702426e-07,1.60489722478036e-06,"CD8T_LOMGlow_1"
"CRLF3",0.769115699576961,7.25075312858777,44.4730784607464,7.29871907300894e-08,8.84898963580308e-07,"CD8T_LOMGlow_1"
"PIM2",0.768478003225379,7.36960831812491,31.7102308707793,2.16306457588319e-06,1.4519454921379e-05,"CD8T_LOMGlow_1"
"CLEC2B",-0.765944279418172,8.17233548464161,43.8908081665808,8.36692507712828e-08,9.839000617014e-07,"CD8T_LOMGlow_1"
"SEC61B",-0.765789466611903,8.41289483085159,83.9511347373048,4.06561009982428e-11,1.38230743394025e-09,"CD8T_LOMGlow_1"
"ZFP36",-0.763205547906334,9.74045530733487,8.52028478723724,0.00664006582132218,0.0160511019235671,"CD8T_LOMGlow_1"
"CDKN2D",-0.756310215540104,7.42704545108296,23.799288261328,2.25443258568436e-05,0.000113010659102896,"CD8T_LOMGlow_1"
"PTGER2",-0.756200659747187,7.61092115987007,22.9113090853789,3.09270685444317e-05,0.000149192514447343,"CD8T_LOMGlow_1"
"IRF1",-0.755986077601216,8.43070063589966,16.0835502531364,0.000352476942034746,0.00124441069377504,"CD8T_LOMGlow_1"
"SASH3",-0.753178271076337,7.52281892313036,23.4136069569876,2.5588095812272e-05,0.000126245368613228,"CD8T_LOMGlow_1"
"LEPROTL1",0.751357393541862,9.34206869705604,55.7401454273714,6.22096224783904e-09,1.09321179276632e-07,"CD8T_LOMGlow_1"
"ZNF91",0.749531456657788,6.47465174338565,41.9650142244374,1.3241493805588e-07,1.37150306701587e-06,"CD8T_LOMGlow_1"
"PPP1CA",-0.743228850014281,8.81024719566159,79.5488389737562,8.19682120761696e-11,2.46535160936787e-09,"CD8T_LOMGlow_1"
"ST13",0.741297562797968,9.01978898089519,99.0873652042732,4.37971983626374e-12,2.36202821514362e-10,"CD8T_LOMGlow_1"
"GRAMD1A",0.737097433280836,7.22271172509617,36.7277269068231,4.90491146308336e-07,4.0804688980119e-06,"CD8T_LOMGlow_1"
"PPP1R18",-0.733005279761341,8.20996984442202,31.4222166923902,2.34068154287287e-06,1.55779826938433e-05,"CD8T_LOMGlow_1"
"FLT3LG",0.730965165193525,8.62493704123878,47.5089689556994,3.63794688294337e-08,4.7022718387797e-07,"CD8T_LOMGlow_1"
"GZMM",-0.730811842941757,8.91771698924904,27.9375055930745,7.29469685720038e-06,4.14869304896778e-05,"CD8T_LOMGlow_1"
"DSTN",-0.728260367402507,7.70189770405391,43.6142962431737,8.93078842602517e-08,1.0270406689929e-06,"CD8T_LOMGlow_1"
"MT2A",-0.727165196093817,8.8342080295541,26.2709456583281,1.19412438900758e-05,6.50735381326779e-05,"CD8T_LOMGlow_1"
"RAPGEF6",0.725918572551786,7.60077804977023,37.3367689418238,4.19163589217224e-07,3.5628905083464e-06,"CD8T_LOMGlow_1"
"PGAM1",-0.724643391819053,8.04912724042142,36.5490679397159,5.13762391423527e-07,4.22907568519156e-06,"CD8T_LOMGlow_1"
"PABPC4",0.721054157429323,7.07888799063349,32.0136409286454,1.73625978611072e-06,1.21228138637374e-05,"CD8T_LOMGlow_1"
"S100A6",-0.720745137726182,10.5159653010871,126.904690836712,1.30896157869391e-13,1.2042446523984e-11,"CD8T_LOMGlow_1"
"HSPB1",0.715518061198825,8.42719443852162,49.9977867985561,2.09486941240923e-08,3.06203342150284e-07,"CD8T_LOMGlow_1"
"EIF2S3",0.714318945661608,8.67564601375596,33.6299226992232,1.36318384907048e-06,1.00094814081983e-05,"CD8T_LOMGlow_1"
"ARHGDIA",-0.706019593536445,8.44876631508446,79.136027746313,8.7658723813215e-11,2.58675932158242e-09,"CD8T_LOMGlow_1"
"GAPDH",-0.700727356014967,10.9520975433421,37.8568547056783,4.68674332427202e-07,3.91982168939114e-06,"CD8T_LOMGlow_1"
"EEF1G",0.698054470031005,11.2987784525928,57.5680390315526,4.29519221438002e-09,7.81125653870971e-08,"CD8T_LOMGlow_1"
"EMP3",-0.696154516907828,9.82569733102966,42.0756375996485,1.55223631084851e-07,1.59716946721517e-06,"CD8T_LOMGlow_1"
"PYCR2",0.695589413162492,7.52180182604032,48.9022989359896,2.66554898680809e-08,3.75578253636743e-07,"CD8T_LOMGlow_1"
"PARP8",-0.693367661423082,8.77762638501464,22.8396192612614,3.3938942814494e-05,0.00015988104386105,"CD8T_LOMGlow_1"
"LBH",0.691757572966304,8.96129521966088,34.41318370191,1.09532707267719e-06,8.27580454911658e-06,"CD8T_LOMGlow_1"
"ITPKB",0.689881569009153,7.1531630861156,30.7574414606071,2.46908353793012e-06,1.63629095479776e-05,"CD8T_LOMGlow_1"
"ITGA4",-0.689044527660334,8.92197724622096,40.826634005901,1.74647033748689e-07,1.71791170303742e-06,"CD8T_LOMGlow_1"
"RHOH",0.688323080094013,8.7762989512533,48.3541965051131,3.0105786753551e-08,4.16685402500476e-07,"CD8T_LOMGlow_1"
"IMPDH2",0.680689171623939,7.28413151201418,22.8062087337265,3.07421533003379e-05,0.000148856742296373,"CD8T_LOMGlow_1"
"GNG2",-0.680390808251648,8.37207601275316,38.5878292279041,3.04785535867683e-07,2.72391187484032e-06,"CD8T_LOMGlow_1"
"FERMT3",-0.677504345663812,7.45371140354933,35.9933414519032,5.93892043002287e-07,4.81267956090972e-06,"CD8T_LOMGlow_1"
"EIF3E",0.67453532665513,9.35876067231625,32.5215205770386,1.88882025943003e-06,1.30713048041972e-05,"CD8T_LOMGlow_1"
"ITK",0.669133079170535,8.6884577351096,35.1508465766973,8.03728231508528e-07,6.35617284510953e-06,"CD8T_LOMGlow_1"
"DEK",-0.665802390228777,8.25742742238469,49.3589775506259,2.40992907330898e-08,3.48993432468078e-07,"CD8T_LOMGlow_1"
"STMN3",0.665018728370378,7.65391037388943,21.0482582334227,5.58839608940423e-05,0.000245512682130006,"CD8T_LOMGlow_1"
"PABPC1",0.66045269923071,11.3818164554494,51.3213985808142,1.57225833688133e-08,2.53506395761073e-07,"CD8T_LOMGlow_1"
"GSTP1",-0.659768609132612,8.53228297126182,28.6199209546094,5.08242020637748e-06,3.09295922286941e-05,"CD8T_LOMGlow_1"
"CAPNS1",-0.658813436256678,7.98113593914321,40.1633357349013,2.05613754168865e-07,1.94896916072791e-06,"CD8T_LOMGlow_1"
"RGS19",-0.658737533010689,7.37995339015057,41.223597909376,1.58501358081855e-07,1.60489722478036e-06,"CD8T_LOMGlow_1"
"STX16",0.657157740787841,6.90528501472721,27.3789608408503,6.59333972633434e-06,3.81925308592108e-05,"CD8T_LOMGlow_1"
"CBLB",-0.656812339424101,7.84465736111394,33.1767777914507,1.26067093173299e-06,9.3889968439543e-06,"CD8T_LOMGlow_1"
"BSG",-0.653952229481644,7.90243418444505,43.0098614071694,1.03075085595669e-07,1.12733869840299e-06,"CD8T_LOMGlow_1"
"TAGLN2",-0.653628229350601,9.8213132644436,47.3472103704207,3.77298434412292e-08,4.79751830423435e-07,"CD8T_LOMGlow_1"
"RIN3",0.648372328259307,7.22242484292184,32.2251270839166,1.63740917854454e-06,1.1640490705653e-05,"CD8T_LOMGlow_1"
"OSTF1",-0.647276410763493,7.61297057866557,37.9997417228635,3.53792827211405e-07,3.07406656532576e-06,"CD8T_LOMGlow_1"
"PIP4K2A",-0.647079337368737,8.32405479023668,42.070517696167,1.29087871892837e-07,1.34595621093598e-06,"CD8T_LOMGlow_1"
"CD2",-0.638537271115806,9.10148106593551,41.2093411661481,1.59053113709051e-07,1.60489722478036e-06,"CD8T_LOMGlow_1"
"MSN",-0.637892611864581,9.01398238359366,58.1676574701124,3.80977362651845e-09,7.09343565699387e-08,"CD8T_LOMGlow_1"
"CHCHD10",0.635606186440857,8.24760311844816,31.4300322539156,2.0805453523218e-06,1.41477083957882e-05,"CD8T_LOMGlow_1"
"PIK3CD",0.632010905916753,7.60673843281666,27.2762783468573,6.79889817063727e-06,3.92379215456704e-05,"CD8T_LOMGlow_1"
"DHRS7",-0.627312015521439,8.04915270035152,25.2395193304981,1.29921335036865e-05,7.03103695493621e-05,"CD8T_LOMGlow_1"
"CALR",-0.625271566712571,8.86325247823797,42.3977665771817,1.19317029680321e-07,1.26089077310826e-06,"CD8T_LOMGlow_1"
